C00041,C00062,C00064,C00065,C00073,C00078,C00079,C00082,C00135,C00152,C00188,C00219,C00245,C00257,C00294,C00299,C00327,C00791,C01586,C01762,Age
-1630.456763,-23186.12306,-230079.5399,18910.17738,-4591.59867,34740.09313,55314.50554,32909.05432,124672.7295,8183.304878,16039.78825,6391.81153,8060.390244,-36600.95676,254.5643016,-10683.04324,4154.254989,-19195.75831,33067.41907,-1802.631929,0
8039.043237,1458.37694,86735.96009,-442.8226164,2160.90133,-10997.90687,11764.50554,1763.554324,-4049.27051,12161.30488,-6667.211752,694559.8115,-18527.60976,5311.043237,2704.564302,-3439.543237,8507.754989,17002.74169,287515.4191,1969.868071,1
-8158.456763,-39691.12306,-216543.0399,14212.17738,-9190.59867,-137616.4069,-162457.9945,-139646.4457,-96491.77051,-2864.695122,16690.28825,194710.8115,31968.39024,67863.04324,-3491.435698,-12078.04324,-2617.245011,-1886.258315,48599.91907,2581.368071,0
-7014.456763,-54961.62306,-218320.5399,-12297.32262,-5247.59867,179924.0931,-35745.99446,-28268.94568,-36299.77051,-9278.195122,-17962.71175,-368637.1885,-22403.10976,14645.04324,560.0643016,19567.45676,4317.254989,-19802.25831,6185.419069,-1885.131929,0
-2707.956763,-45254.12306,-124571.5399,-4343.322616,-10210.59867,101560.0931,-16779.99446,-25216.94568,70815.72949,-6343.695122,-963.2117517,-270947.1885,44007.39024,53408.54324,-1474.435698,-6930.043237,-2110.245011,-3386.258315,-44682.08093,-1714.131929,0
-16250.45676,-33494.12306,222171.4601,-16955.32262,-273.0986696,-31324.40687,-32653.99446,13774.05432,-21537.27051,1081.804878,-41171.21175,-137270.1885,-29859.60976,-17162.45676,-370.9356984,14960.95676,-2360.245011,3709.241685,-71879.58093,1780.868071,0
7851.543237,-92976.12306,-257295.0399,-2262.822616,-5402.09867,22940.09313,14057.00554,38435.55432,-79455.27051,-6650.195122,-3090.711752,158284.8115,-28317.60976,-4735.956763,-832.4356984,-12834.04324,8157.254989,41774.74169,-46514.58093,-163.131929,1
5435.043237,41351.87694,3180.960089,2146.677384,3463.90133,49044.09313,58761.50554,55337.05432,87008.72949,4715.304878,8384.788248,-242030.6885,25677.39024,10269.54324,-121.9356984,1782.956763,20505.25499,30600.24169,-71373.08093,-897.131929,0
-825.4567627,-85726.12306,-61352.03991,-6620.322616,1638.40133,-15017.90687,-98378.49446,-55854.94568,-120660.2705,-8642.695122,-13032.71175,-492234.1885,-18668.10976,-13451.95676,-372.4356984,1515.956763,1811.754989,-222.2583149,-60228.08093,-1890.631929,0
-6730.956763,-11460.62306,-209344.0399,-622.3226164,-5141.09867,-61764.40687,-95141.99446,-65413.94568,-67827.27051,-10251.69512,-15038.21175,-268249.1885,-2471.109756,-21712.95676,-1249.935698,-8018.043237,-10498.74501,-10697.75831,-40548.08093,-1236.131929,0
